year,nominal_stipend,food_cpi_yoy_pct,cumulative_deflator,real_value_low,real_value_high,note
2016,30000,14.5,1.000,30000,30000,"Base year — nominal set at ₦30,000"
2017,30000,19.5,1.195,25105,25105,"NBS 2017"
2018,30000,14.1,1.364,21994,21994,"NBS 2018"
2019,30000,13.5,1.548,19380,19380,"NBS 2019"
2020,30000,16.0,1.795,16713,16713,"NBS 2020 (COVID)"
2021,30000,20.4,2.161,13882,13882,"NBS 2021"
2022,30000,21.3,2.622,11441,11441,"NBS 2022"
2023,30000,28.0,3.356,8940,8940,"NBS 2023 (post-subsidy)"
2024,30000,34.2,4.503,6663,6663,"NBS 2024 (peak; Jun peak 34.19% YoY)"
2025,30000,22.1,5.498,5457,5457,"NBS 2025 (avg of Jan 26.08%, Apr 21.26%, May 21.14%)"
2026,30000,14.31,6.284,3000,5000,"NBS Mar 2026 14.31% YoY; band reflects re-basing sensitivity"
