programme,country,households_millions,population_share_pct,note
Progresa,Mexico,6.5,25,"6.5 million families at peak, roughly 25 percent of Mexican population"
Bolsa Familia,Brazil,13.9,25,"13.9 million families, roughly 25 percent of Brazilians"
4Ps,Philippines,4.4,20,"4.4 million households"
PKH,Indonesia,10,10,"10 million families by 2022"
JSY,India,10,1,"Over 10 million beneficiaries per year; less than 1 percent of population as annual flow"
CSG,South Africa,13,60,"13 million children; roughly 60 percent of all children"
PSSN,Tanzania,1.1,5,"1.1 million households by 2020"
LEAP,Ghana,0.116,2,"116000 households; less than 2 percent of population"
CT-OVC,Kenya,0.35,2,"350000 households by 2020; less than 2 percent"
NASSP-HUP achieved,Nigeria,1.8,2,"1.8 million households enrolled; less than 2 percent"
NASSP-SU target,Nigeria,10.2,10,"10.2 million households target; aspirational not achieved"
